x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame
881.2544,1031.731,931.7106,1112.9958,3,0.8069882,10,car,30
871.04065,897.0738,916.6085,964.96124,3,0.7834903,15,car,30
853.1036,811.95905,906.967,884.28754,3,0.7272873,16,car,30
792.14594,2744.036,902.79,2931.623,3,0.88280165,1,car,31
855.69617,2255.9722,942.1302,2432.696,3,0.8655045,3,car,31
808.656,2483.31,907.38043,2670.4727,3,0.8630922,8,car,31
894.80475,1851.4692,970.47876,2008.6887,3,0.85404617,11,car,31
891.2939,2049.8684,959.97766,2189.7346,3,0.8479582,7,car,31
890.0845,1347.7317,951.8456,1458.374,3,0.8464448,5,car,31
913.04565,1504.1719,974.074,1622.5422,3,0.8393658,9,car,31
910.76935,1687.0437,970.1512,1801.8267,3,0.8308954,12,car,31
891.3971,1207.1287,944.7472,1299.7734,3,0.81919336,13,car,31
881.7574,1031.9878,931.9257,1113.4199,3,0.8093173,10,car,31
870.9296,896.39557,916.4266,966.076,3,0.7806633,15,car,31
853.1014,811.80725,906.9853,883.38904,3,0.72467893,16,car,31
792.12744,2744.1877,902.562,2931.714,3,0.883301,1,car,32
855.94775,2255.9644,942.1875,2432.9592,3,0.86601293,3,car,32
808.8164,2483.3662,907.6366,2670.7244,3,0.86287284,8,car,32
894.6678,1851.2238,970.59045,2009.0354,3,0.8529261,11,car,32
891.42865,2049.8027,960.01337,2189.3438,3,0.8497804,7,car,32
889.9563,1348.0251,951.631,1458.875,3,0.8456179,5,car,32
913.1344,1504.1632,974.0565,1622.8718,3,0.83962274,9,car,32
910.48535,1687.0195,970.0481,1802.024,3,0.8292148,12,car,32
891.57587,1207.2837,944.7288,1300.3113,3,0.82901007,13,car,32
882.06683,1032.4888,932.2956,1113.7966,3,0.8087365,10,car,32
